SUBWATERSHED,01_RATIO,02_RATIO,03_RATIO,04_RATIO,05_RATIO,06_RATIO,07_RATIO,08_RATIO,09_RATIO,10_RATIO,11_RATIO,12_RATIO
Sacramento Bend,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Stony,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Cache,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Upper Feather,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Yuba,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Bear,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Upper American,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Putah,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Upper Sacramento Valley,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Sacramento Valley Floor,1,1,0.597315436,0.703170029,0.64973545,0.811804009,0.803480041,0.704545455,0.704545455,0.572052402,0.51875,0.349775785
Chowchilla,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Upper San Joaquin,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Fresno,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Merced,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Tuolumne,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Stanislaus,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Calaveras,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Mokelumne,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
Cosumnes,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
San Joaquin Valley Floor,1,1,0.821958457,0.820638821,0.83047619,0.848122867,0.848623853,0.843373494,0.805970149,0.814814815,0.730769231,0.577464789
