Application ID,No Changes?,Nov Direct (AF),Nov Storage (AF),Comments
A000018,TRUE,0,0,
A000023,TRUE,0,0,
A000027,TRUE,0,0,
A000077A,TRUE,0,0,
A000234,FALSE,0,12763,
A000244,TRUE,0,0,
A000462,TRUE,0,0,
A000476,FALSE,0,0,
A000480,FALSE,0,0,
A000575,TRUE,0,0,
A000576,TRUE,0,0,
A000577,TRUE,0,0,
A000581,TRUE,0,0,
A000640,TRUE,0,0,
A000654,TRUE,0,0,
A000742,TRUE,0,0,
A000763,TRUE,0,0,
A000770,TRUE,0,0,
A000878,TRUE,0,0,
A000879,TRUE,0,0,
A000880A,TRUE,0,0,
A000892,TRUE,0,0,
A001074B,TRUE,0,0,
A001081,FALSE,0,1991,
A001150,TRUE,0,0,
A001160,TRUE,0,0,
A001195,TRUE,0,0,
A001199B,TRUE,0,0,
A001221,FALSE,0,0,
A001224,FALSE,0,0,
A001232,FALSE,0,0,
A001233,FALSE,0,0,
A001270,TRUE,0,0,
A001321,TRUE,0,0,
A001341,FALSE,0,0,
A001342,FALSE,0,0,
A001343,TRUE,0,383,
A001344,TRUE,0,0,
A001345,FALSE,0,0,
A001346,FALSE,0,0,
A001440,TRUE,0,0,
A001441,TRUE,0,0,
A001465,TRUE,0,0,
A001532,FALSE,0,0,
A001554,TRUE,0,0,
A001588,TRUE,0,0,
A001589,TRUE,0,0,
A001614,FALSE,0,800,
A001615,TRUE,0,0,
A001624,TRUE,0,0,
A001651,TRUE,0,0,
A001659,TRUE,0,0,
A001666,TRUE,0,0,
A001692,TRUE,0,0,
A001699,TRUE,0,0,
A001725,TRUE,0,0,
A002142,TRUE,0,0,
A002197,FALSE,0,0,
A002212,TRUE,0,2880,
A002227,TRUE,0,0,
A002270,TRUE,0,0,
A002275,TRUE,0,0,
A002276,TRUE,0,0,
A002318,FALSE,0,0,
A002372,TRUE,0,0,
A002522,TRUE,0,0,
A002524,TRUE,0,0,
A002652A,FALSE,0,100,
A002652B,TRUE,0,0,
A002778,TRUE,0,0,
A002881,TRUE,0,0,
A002948,TRUE,0,0,
A002949,FALSE,0,0,
A002950,FALSE,0.1,0,
A002951,TRUE,0,0,
A002952,TRUE,0,0,
A002953,FALSE,0.1,0,
A002954,TRUE,0,0,
A002957,FALSE,0.1,0,
A002958,FALSE,0.1,0,
A002979,TRUE,0,0,
A003026,TRUE,0,0,
A003091,FALSE,0,5503,
A003139,FALSE,0,0,
A003206,TRUE,0,0,
A003613,FALSE,0,0,
A003648,FALSE,0,0,
A003768,TRUE,0,0,
A003769,TRUE,0,0,
A004099,TRUE,0,0,
A004100,TRUE,0,0,
A004101,TRUE,0,0,
A004124,TRUE,141,0,
A004228,FALSE,0,0,
A004237,FALSE,0,0,
A004275,FALSE,0.1,0,
A004276,FALSE,0.1,0,
A004309,TRUE,0,0,
A004310,TRUE,0,0,
A004432,FALSE,0.1,0,
A004452,FALSE,0.1,0,
A004513,FALSE,0.1,0,
A004637,FALSE,0.1,0,
A004768,FALSE,0,0,
A004901,TRUE,0,0,
A004942,FALSE,0.1,0,
A004943,FALSE,0.1,0,
A004944,FALSE,0.1,0,
A004945,FALSE,0.1,0,
A005004,TRUE,0,0,
A005047,FALSE,0.1,0,
A005092,FALSE,0.1,0,
A005109,TRUE,0,0,
A005110,TRUE,0,0,
A005128,FALSE,0,0,
A005155,FALSE,0.75,0,
A005193,FALSE,0,500,
A005316,FALSE,0.1,0,
A005618,FALSE,0,0,
A005625,TRUE,0,0,
A005626,FALSE,100000,38668,
A005629,TRUE,0,0,
A005630,TRUE,0,0,
A005631,FALSE,0,4281,
A005632,FALSE,11468,0,
A005638,TRUE,0,0,
A005645A,TRUE,881,0,
A005645B,FALSE,0,0,
A005648A,FALSE,0,0,
A005648D,TRUE,0.5,0,
A005754,TRUE,0,0,
A006229,TRUE,0,0,
A006316,FALSE,0.1,0,
A006383,TRUE,0,0,
A006470,TRUE,0,0,
A006522,TRUE,0,0,
A006529,TRUE,0,0,
A006582,TRUE,0,0,
A006587,FALSE,81.3,0,
A006701,TRUE,0,0,
A006702,TRUE,0,0,
A006711,FALSE,0,0,
A006743,TRUE,0,0,
A007641A,TRUE,0,0,
A007989,TRUE,0,0,
A008177,TRUE,26,1,
A008178,TRUE,0,0,
A008179,TRUE,0,0,
A008180,FALSE,193,400,
A008187,TRUE,0,0,
A008188,TRUE,0,0,
A008238,TRUE,0,769,
A008338,FALSE,0,0,
A008495,FALSE,12,0,
A008794,FALSE,0,0,
A008830,FALSE,0,0,
A009320,FALSE,0.1,0,
A009363,TRUE,0,0,
A009364,TRUE,0,0,
A009365,TRUE,0,0,
A009366,TRUE,6331,0,
A009367,TRUE,0,0,
A009368,TRUE,150041,0,
A009515,TRUE,0,0,
A009516,TRUE,0,0,
A009735,TRUE,0,0,
A009736,TRUE,0,0,
A009737,TRUE,0,0,
A009760,TRUE,14385,0,
A009996,FALSE,0,0,
A009997,FALSE,0,0,
A010030,FALSE,0,0,
A010190,TRUE,0,0,
A010215,FALSE,0.1,0,
A010221,TRUE,0,3958,
A010282,TRUE,0,0,
A010338,FALSE,0,0,
A010363,TRUE,0,0,
A010529,TRUE,0,0,
A010572,FALSE,0,0,
A010588,TRUE,0,0,
A010872,FALSE,0,0,
A010978,TRUE,0,0,
A011028,TRUE,0,0,
A011058,TRUE,0,0,
A011105,TRUE,0,0,
A011115,TRUE,0,0,
A011199,TRUE,7738,5673,
A011281,TRUE,0,0,
A011352,TRUE,0,0,
A011687,TRUE,0,0,
A011688,TRUE,153,0,
A011792B,TRUE,0,0,
A011847,FALSE,0.1,0,
A011899,TRUE,0,0,
A011910,TRUE,0,0,
A012073B,TRUE,0,0,
A012125,TRUE,0,0,
A012323,TRUE,0,454,
A012342A,FALSE,0,0,
A012470A,TRUE,0,0,
A012470B,TRUE,0,0,
A012490,TRUE,0,0,
A012578,TRUE,148,0,
A012614,TRUE,0,0,
A012624,TRUE,0,269,
A012716,FALSE,331.4,0,
A012873,TRUE,0,0,
A012910,TRUE,0,0,
A012911,TRUE,0,0,
A012912,TRUE,0,0,
A012912A,FALSE,102,0,
A013091,TRUE,0,0,
A013092,TRUE,0,0,
A013093,TRUE,0,0,
A013093A,TRUE,0,0,
A013130,FALSE,0,35,
A013148,TRUE,0,0,
A013156,FALSE,0,0,
A013309,TRUE,0,0,
A013310,TRUE,0,0,
A013370,FALSE,4500,0,
A013371,TRUE,0,0,
A013372,TRUE,0,0,
A013541,TRUE,0,0,
A013676,TRUE,0,4735,
A013715,FALSE,0.1,0,
A013873,TRUE,0,0,
A013928,TRUE,0,0,
A013929,FALSE,0,0,
A013956,TRUE,0,0,
A014023,FALSE,0.1,0,
A014112,TRUE,0,0,
A014126,FALSE,0,0,
A014127,FALSE,0,0,
A014415,TRUE,0,0,
A014443,TRUE,0,0,
A014444,TRUE,0,0,
A014445A,TRUE,0,0,
A014544,FALSE,0.1,0,
A014546,TRUE,0,0,
A014588,TRUE,0,0,
A014649,TRUE,0,0,
A014662,TRUE,0,0,
A014665,TRUE,0,0,
A014804,TRUE,0,0,
A014858A,FALSE,0,0,
A014858B,FALSE,0,0,
A014859,TRUE,0,0,
A014867,TRUE,0,0,
A014907,FALSE,0.1,0,
A014963,TRUE,0,0,
A015179,TRUE,0,0,
A015201,FALSE,0,0,
A015204,TRUE,0,0,
A015250,FALSE,0.1,0,
A015424,TRUE,0,0,
A015525,TRUE,0,0,
A015563,TRUE,0,0,
A015574,FALSE,0,0,
A015587,TRUE,0,0,
A015606,TRUE,0,0,
A015628,TRUE,0,0,
A015698,FALSE,8,0,
A015764,FALSE,0,0,
A016102,TRUE,0,0,
A016186,FALSE,0,0,
A016187,FALSE,0,0,
A016361B,TRUE,0,0,
A016401,FALSE,70,0,
A016950,TRUE,0,0,
A016951,TRUE,0,0,
A016952,TRUE,0,157,
A017066,TRUE,0,0,
A017375,TRUE,0,0,
A017376,FALSE,0,0,
A017512,TRUE,0,0,
A017514A,TRUE,2424,0,
A017605,FALSE,0,0,
A018084,TRUE,0,0,
A018085,TRUE,0,0,
A018086,TRUE,0,0,
A018087,TRUE,0,0,
A018115,FALSE,0,1305,
A018714,TRUE,0,747,
A018727,FALSE,0,0,
A018733,FALSE,0,0,
A018774,TRUE,0,0,
A018812,TRUE,0,0,
A018844,TRUE,0,0,
A019145,TRUE,0,872,
A019148,TRUE,0,0,
A019149,TRUE,0,0,
A019229,FALSE,0,0,
A019303,TRUE,0,0,
A019304,TRUE,0,0,
A019934,FALSE,0,24,
A020017,TRUE,4620,6521,
A020072,TRUE,0,0,
A020117,TRUE,0,0,
A020245,FALSE,0,0,
A020522,TRUE,0,0,
A020698,TRUE,0,0,
A021009,TRUE,0,26,
A021151,TRUE,0,0,
A021152,TRUE,0,0,
A021443,TRUE,0,0,
A021542,TRUE,0,0,
A021945,TRUE,81.6,0,
A022061,TRUE,0,0,
A022110,TRUE,0,0,
A022316,TRUE,0,0,
A022980,TRUE,0,44.1,
A023201,FALSE,745,0,
A023757,TRUE,0,0,
A024701,TRUE,0,0,
A024961,FALSE,0,0,
A024983,TRUE,0,0,
A025056,FALSE,0,0,
A025176,TRUE,0,0,
A025516A,FALSE,0,1.2,
A025751,TRUE,606,0,
A025901,TRUE,0,0,
A026162,TRUE,0,0,
A026534,TRUE,0,0,
A026535,TRUE,0,0,
A026542,TRUE,0,0,
A026543,TRUE,0,0,
A026544,TRUE,0,0,
A026545,TRUE,0,0,
A026546,TRUE,0,0,
A026547,TRUE,0,0,
A026637,TRUE,0,0,
A026695,TRUE,0,0,
A026768,TRUE,0,0,
A026791,TRUE,0,0,
A026866,TRUE,0,0,
A027132,TRUE,0,0,
A027222,FALSE,0,0,
A027302,TRUE,0,0,
A027319,TRUE,0,0,
A027559,TRUE,0,0,
A028465,FALSE,0,0,
A029300,FALSE,0,0,
A029721,TRUE,0,0,
A030410,FALSE,749,0,
A030445,TRUE,2343,0,
A030531A,FALSE,0,0,
A030812,FALSE,0,0,
A030813,FALSE,0,0,
A030838,FALSE,9500,0,
A031436,FALSE,14281,0,
A031502,TRUE,0,0,
A031595,TRUE,0,0,
A031596,TRUE,0,93,
A031615,FALSE,0,0,
A031770,TRUE,0,0,
A031919,FALSE,0,0,
A032232,TRUE,0,0,
S000477,FALSE,0,0,
S000480,FALSE,40000,0,
S000656,FALSE,0,0,
S000925,FALSE,30000,0,
S000959,TRUE,607,0,
S000974,TRUE,0,0,
S000998,FALSE,400,0,
S001002,TRUE,0,0,
S001003,TRUE,0,0,
S001004,TRUE,0,0,
S001050,TRUE,1030.9,0,
S001073,FALSE,0,0,
S001074,FALSE,0,0,
S001098,FALSE,0,0,
S002635A,FALSE,0,561,
S002635B,FALSE,0,0,
S002636A,FALSE,0,0,
S002636B,FALSE,0,0,
S002636C,FALSE,0,0,
S002637A,FALSE,0,0,
S002637B,FALSE,0,0,
S002638A,FALSE,0,0,
S002638B,FALSE,0,0,
S002908,TRUE,0,0,
S002909,TRUE,187.52,0,
S002910,FALSE,0,0,
S004518,FALSE,0,30,
S004683,FALSE,1700,0,
S004707,FALSE,0,0,
S004708,TRUE,0,0,
S004716,TRUE,0,130,
S004717,TRUE,0,150,
S004718,FALSE,1922,0,
S005005,TRUE,0,0,
S006353,FALSE,0,0,
S006354,FALSE,0,780,
S007367,TRUE,0,0,
S009034,TRUE,2,0,
S009320,TRUE,1308,200,
S009352,TRUE,0,0,
S009897,FALSE,1773,0,
S010405,TRUE,0,0,
S010794,TRUE,88,0,
S012950,TRUE,291,0,
S012951,TRUE,151,0,
S012952,TRUE,63,0,
S013330,TRUE,43,0,
S013501,TRUE,0,0,
S013791,TRUE,237,0,
S013800,TRUE,752,88,
S013801,TRUE,0,500,
S013809,TRUE,13,0,
S013848,FALSE,5442,3230,
S013927,TRUE,533,0,
S013928,TRUE,0,0,
S014122,TRUE,30,0,
S014323,FALSE,0,0,
S014355,TRUE,75,0,
S014379A,FALSE,0,0,
S014379B,FALSE,0,0,
S014379C,FALSE,0,0,
S014968,TRUE,0,0,
S015476,TRUE,0,0,
S016432,FALSE,0,0,
S016689,TRUE,1197.1,0,
S016949,TRUE,0,0,
S016987,TRUE,0,0,
S017286,TRUE,2858,0,
S018779,FALSE,0,0,
S020054,TRUE,61,0,
S020055,TRUE,1129.4,0,
S020165,TRUE,0,0,
S020167,FALSE,8900,0,
S020172,TRUE,0,0,
S020579,FALSE,0,0,
S020580,FALSE,1900,0,
S020657,TRUE,0,0,
S020716,TRUE,0,0,
S020721,FALSE,0,0,
S020799,TRUE,0,0,
S020960,TRUE,0,0,
S020961,TRUE,0,0,
S022022,TRUE,660,0,
S022067,TRUE,241,0,
S022068,TRUE,241,0,
S022153,TRUE,0,0,
S022154,TRUE,0,0,
S022169,TRUE,0,0,
S022682,TRUE,0,0,
S025466,TRUE,0,0,
S025467,TRUE,0,0,
S025468,TRUE,0,0,
S025469,TRUE,0,0,
S025470,TRUE,0,0,
